score_mode	temperature	distance	raw_energy	log_likelihood_like_score	normalized_relative_weight	monotonic_nonincreasing
fdg_flat	0.5	2.8200000000000003	1.3246969696969702	-2.6493939393939403	0.1165547756299424	0
fdg_flat	0.5	2.8400000000000003	1.3532835820895526	-2.706567164179105	0.11007787994764477	0
fdg_flat	0.5	2.8600000000000003	1.3819117647058827	-2.7638235294117655	0.10395225940549135	0
fdg_flat	0.5	2.8800000000000003	1.410579710144928	-2.821159420289856	0.09815971124213432	0
fdg_flat	0.5	2.9000000000000004	1.4392857142857147	-2.8785714285714294	0.09268288710542426	0
fdg_flat	0.5	2.92	1.4680281690140844	-2.936056338028169	0.08750526307243893	0
fdg_flat	0.5	2.94	1.4968055555555555	-2.993611111111111	0.08261110940164235	0
fdg_flat	0.5	2.96	1.5256164383561643	-3.0512328767123287	0.07798546025058119	0
fdg_flat	0.5	2.98	1.5544594594594594	-3.108918918918919	0.07361408355386002	0
fdg_flat	0.5	3.0	1.5833333333333333	-3.1666666666666665	0.06948345122280154	0
fdg_flat	0.5	3.02	1.612236842105263	-3.224473684210526	0.06558070979946923	0
fdg_flat	0.5	3.04	1.6411688311688313	-3.2823376623376626	0.06189365167300534	0
fdg_flat	0.5	3.06	1.6701282051282051	-3.3402564102564103	0.058410686944979105	0
fdg_flat	0.5	3.08	1.699113924050633	-3.398227848101266	0.05512081601219197	0
fdg_flat	0.5	3.1	1.7281250000000001	-3.4562500000000003	0.052013602919751906	0
fdg_flat	0.5	3.12	1.7571604938271606	-3.514320987654321	0.04907914952385773	0
fdg_flat	0.5	3.14	1.786219512195122	-3.572439024390244	0.04630807049233306	0
fdg_flat	0.5	3.16	1.8153012048192774	-3.6306024096385547	0.043691469161253736	0
fdg_flat	0.5	3.18	1.844404761904762	-3.688809523809524	0.04122091425779751	0
fdg_flat	0.5	3.2	1.873529411764706	-3.747058823529412	0.03888841749251481	0
fdg_flat	0.5	3.22	1.9026744186046514	-3.8053488372093027	0.036686412018402115	0
fdg_flat	0.5	3.24	1.9318390804597705	-3.863678160919541	0.034607731749305946	0
fdg_flat	0.5	3.2600000000000002	1.9610227272727276	-3.9220454545454553	0.03264559152616763	0
fdg_flat	0.5	3.2800000000000002	1.990224719101124	-3.980449438202248	0.030793568116321356	0
fdg_flat	0.5	3.3000000000000003	2.019444444444445	-4.03888888888889	0.0290455820283845	0
fdg_flat	0.5	3.3200000000000003	2.0486813186813193	-4.097362637362639	0.027395880123142344	0
fdg_flat	0.5	3.3400000000000003	2.0779347826086965	-4.155869565217393	0.025839018999154903	0
fdg_flat	0.5	3.3600000000000003	2.1072043010752695	-4.214408602150539	0.02436984913053656	0
fdg_flat	0.5	3.3800000000000003	2.136489361702128	-4.272978723404256	0.022983499733422567	0
fdg_flat	0.5	3.4000000000000004	2.165789473684211	-4.331578947368422	0.021675364336990643	0
fdg_flat	0.5	3.4200000000000004	2.1951041666666673	-4.390208333333335	0.020441087034507987	0
