experiment	component	configuration	scope	metric	value	n	truth_used_in_inference
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	mean_same_cross_confidence	0.9890661484799295	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	mean_signal_probability	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_coverage_at_precision_0.55	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_coverage_at_precision_0.60	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_coverage_at_precision_0.70	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_coverage_at_precision_0.80	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_coverage_at_precision_0.90	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_coverage_at_precision_0.55	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_coverage_at_precision_0.60	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_coverage_at_precision_0.70	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_coverage_at_precision_0.80	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_coverage_at_precision_0.90	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_signal_aware_coverage_at_precision_0.55	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_signal_aware_coverage_at_precision_0.60	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_signal_aware_coverage_at_precision_0.70	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_signal_aware_coverage_at_precision_0.80	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	exact_signal_aware_coverage_at_precision_0.90	0.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_signal_aware_coverage_at_precision_0.55	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_signal_aware_coverage_at_precision_0.60	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_signal_aware_coverage_at_precision_0.70	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_signal_aware_coverage_at_precision_0.80	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	same_cross_signal_aware_coverage_at_precision_0.90	1.0	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	mean_truth_state_distance_rank	1.8529290439053272	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	truth_state_geometrically_nearest_fraction	0.20466181687591298	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	cis	posterior_top1_equals_geometrically_nearest_fraction	0.931499536536007	206057	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	n_contacts	143977	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	callable_fraction	1.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_top1_accuracy	0.16590149815595545	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_random_tie_expected_accuracy	0.1660033662784102	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_accuracy_ci95_lower	0.16398893924607577	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_accuracy_ci95_upper	0.16783188479380068	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_log_loss	5.367893934342196	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_brier	1.3476677597106672	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_accuracy	0.6617932030810477	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_random_tie_expected_accuracy	0.6617932030810477	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_accuracy_ci95_lower	0.6593451816389091	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_accuracy_ci95_upper	0.6642325911255647	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_log_loss	0.8693901526741056	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_brier	0.5031239717811684	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	mean_entropy	0.5369136403264422	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_ece	0.6121768690704609	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_ece	0.18746665554157954	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	mean_exact_confidence	0.7780761140790076	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	mean_same_cross_confidence	0.8492598586226272	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	mean_signal_probability	1.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_coverage_at_precision_0.55	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_coverage_at_precision_0.60	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_coverage_at_precision_0.70	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_coverage_at_precision_0.80	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_coverage_at_precision_0.90	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_coverage_at_precision_0.55	1.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_coverage_at_precision_0.60	1.0	143977	ORACLE_COORDINATES
