experiment	component	configuration	scope	metric	bin_index	lower	upper	count	coverage	mean_confidence	accuracy
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	8	0.8	0.9	29511	0.08430895284458081	0.8534250910287995	0.7990579783809427
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	all	same_cross	9	0.9	1.0	220868	0.6309901323871395	0.9763461054205494	0.9815138453737073
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	2	0.2	0.30000000000000004	6	2.9118156626564496e-05	0.2844770870389161	0.3333333333333333
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	3	0.30000000000000004	0.4	613	0.0029749050020140056	0.36806033373176733	0.200652528548124
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	4	0.4	0.5	6065	0.029433603323352275	0.4759647122931065	0.37774113767518547
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	5	0.5	0.6000000000000001	34066	0.16532318727342435	0.5497094125927833	0.4057124405565667
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	6	0.6000000000000001	0.7000000000000001	35334	0.1714768243738383	0.6515489870695325	0.28465500650931114
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	7	0.7000000000000001	0.8	40895	0.19846450254055917	0.7509805499259686	0.1944736520357012
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	8	0.8	0.9	48055	0.23321216944825945	0.8512333719328649	0.11432733326396836
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	exact	9	0.9	1.0	41023	0.19908568988192588	0.9422619645918152	0.059235063257197185
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	2	0.2	0.30000000000000004	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	3	0.30000000000000004	0.4	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	4	0.4	0.5	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	5	0.5	0.6000000000000001	609	0.002955492897596296	0.5520163406591033	0.6075533661740559
