run_id	config_name	status	strict_pairs_only_candidate	boundary_reasons	model_top1_accuracy_genome_trans	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_all	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	input_contact_source	sample	uses_phase_labels	uses_charm_or_reference	uses_charm_for_training	readgroup_mode	fixed_posterior	manifest_path	summary_path
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_temp2to1_td1_sep0	OK	1	OK	0.322718	0.518667	0.438069	0.520278	0.590851	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_temp2to1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_cis_floor_trans0p5_temp1_td1_sep0	OK	1	OK	0.322683	0.569541	0.468003	0.518729	0.800553	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_cis_floor_trans0p5_temp1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
033-20260619_131815-p9016_trans_top1_mstep_1m	p9016_pcgamma1_top1off_td1_sep0_ieps0p5_noise0_seed17	OK	1	OK	0.32267	0.569648	0.46806	0.518708	0.800789	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/outputs/p9016_pcgamma1_top1off_td1_sep0_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/033-20260619_131815-p9016_trans_top1_mstep_1m/summary.tsv
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_floor0p5_temp1_td1_sep0	OK	1	OK	0.322656	0.56878	0.467543	0.519076	0.800904	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p5_temp1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_cis_floor_trans0p25_temp1_td1_sep0	OK	1	OK	0.3226	0.569328	0.467843	0.518708	0.800545	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_cis_floor_trans0p25_temp1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
049-20260620_103248-p9016_trans_dscale_gamma_1m	p9016_transgamma_g0_td0p75_seed17_best035	OK	1	OK	0.32244	0.561757	0.463321	0.529341	0.763758	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0_td0p75_seed17_best035/p9016_transgamma_g0_td0p75_seed17_best035/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/summary.tsv
037-20260619_230802-p9016_trans_chrpair_mstep_1m	p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003	OK	1	OK	0.322426	0.565926	0.465769	0.522063	0.797939	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_lct0p03_gct0p003/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/summary.tsv
037-20260619_230802-p9016_trans_chrpair_mstep_1m	p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0	OK	1	OK	0.322336	0.565717	0.465609	0.520882	0.804731	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p5_p2_w10_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/summary.tsv
032-20260619_122253-p9016_trans_contact_scaling_1m	p9016_pcgamma1_tk1_td0p75_sep0_ieps0p5_noise0_seed17	OK	1	OK	0.322156	0.561141	0.462841	0.514645	0.783085	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/outputs/p9016_pcgamma1_tk1_td0p75_sep0_ieps0p5_noise0_seed17/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/032-20260619_122253-p9016_trans_contact_scaling_1m/summary.tsv
034-20260619_140108-p9016_entropy_rho_temperature_1m	p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td1_sep0	OK	1	OK	0.322086	0.517473	0.437106	0.519694	0.59082	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/outputs/p9016_pcgamma1_rho_entropy_floor0p25_temp2to1_td1_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/034-20260619_140108-p9016_entropy_rho_temperature_1m/summary.tsv
045-20260620_055343-p9016_raw_heldout_selection_1m	p9016_heldout_best035_seed17_noise0	OK	1	OK	0.321963	0.546646	0.457128	0.544247	0.693877	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed17_noise0/p9016_heldout_best035_seed17_noise0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/summary.tsv
037-20260619_230802-p9016_trans_chrpair_mstep_1m	p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0	OK	1	OK	0.321739	0.579209	0.473305	0.522049	0.81151	raw_pairs	P9016	0	0	0	off	NA	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/outputs/p9016_pcgamma1_td0p5_mstep0p75_p1_w0_sep0/p9016_full.manifest.tsv	/mnt/ssd/zliu/phase3/test_res/037-20260619_230802-p9016_trans_chrpair_mstep_1m/summary.tsv
