condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
anchor_fraction_x_contacts__well_specified__d10000__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.0	0.001	17	101610223,101611232,101612241	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d500__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	500	0.65	0.05	1000000	3	10	2	0	0.0	0.005	17	1611502944,1611503953,1611504962	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d2500__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.0	0.005	17	88656579,88657588,88658597	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d10000__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.0	0.005	17	101610223,101611232,101612241	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d500__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	500	0.65	0.05	1000000	3	10	2	0	0.0	0.01	17	1611502944,1611503953,1611504962	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d2500__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.0	0.01	17	88656579,88657588,88658597	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d10000__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.0	0.01	17	101610223,101611232,101612241	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d500__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	500	0.65	0.05	1000000	3	10	2	0	0.0	0.05	17	1611502944,1611503953,1611504962	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d2500__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.0	0.05	17	88656579,88657588,88658597	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
anchor_fraction_x_contacts__well_specified__d10000__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	well_specified	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.0	0.05	17	101610223,101611232,101612241	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
